;shop_name;shop_id;shop_name_eng
0;!?????? ????????????, 56 ????;0;Yakutsk Ordzhonikidze, 56 francs
1;"!?????? ?? ""???????????"" ????";1;"Yakutsk TC ""Central"" franc"
2;"?????? ?? ""????""";2;"Adygea Shopping Center ""Mega"""
3;"???????? ??? ""???????-???????""";3;"Balashikha TRK ""October-Kinomir"""
4;"???????? ?? ""????? ????""";4;"Volzhsky shopping center ""Volga Mall"""
5;"??????? ??? ""????????""";5;"Vologda Shopping and Entertainment Center ""Marmalade"""
6;??????? (????????????, 13);6;Voronezh (Plekhanovskaya, 13)
7;"??????? ??? ""????????""";7;"Voronezh SEC ""Maksimir"""
8;"??????? ??? ????-???? ""????""";8;"Voronezh SEC-City Park ""Grad"""
9;???????? ????????;9;Outbound Trade
10;????????? ??. ??????? 39??;10;Zhukovsky Str. Chkalov 39m?
11;????????? ??. ??????? 39?²;11;Zhukovsky Str. Chkalov 39 m²
12;????????-??????? ??;12;Online shop Emergency
13;"?????? ?? ""???????""";13;"Kazan Shopping Center ""Behetle"""
14;"?????? ?? ""????????"" II";14;"Kazan Shopping Center ""ParkHouse"" II"
15;"?????? ??? ""XXI ???""";15;"Kaluga SEC ""XXI Century"""
16;"??????? ?? ""???""";16;"Kolomna shopping center ""Rio"""
17;"?????????? ?? ""??????? ?????""";17;"Krasnoyarsk Shopping center ""Vzletka Plaza"""
18;"?????????? ?? ""????""";18;"Krasnoyarsk Shopping center ""June"""
19;"????? ?? ""??????????""";19;"Kursk TC ""Pushkinsky"""
20;"?????? ""??????????""";20;"Moscow ""Sale"""
21;"?????? ???? ""??? ????""";21;"Moscow MTRTS ""Afi Mall"""
22;?????? ??????? ?21;22;Moscow Shop ?21
23;"?????? ?? ""???????????"" (???.?2)";23;"Moscow TC ""Budenovskiy"" (pav.A2)"
24;"?????? ?? ""???????????"" (???.?7)";24;"Moscow TC ""Budenovskiy"" (pav.K7)"
25;"?????? ??? ""??????""";25;"Moscow TRK ""Atrium"""
26;"?????? ?? ""?????"" (???????)";26;"Moscow Trade Center ""Areal"" (Belyaevo)"
27;"?????? ?? ""???? ????? ???? II""";27;"Moscow ?? ""MEGA Belaya Dacha II"""
28;"?????? ?? ""???? ?????? ????"" II";28;"Moscow ?? ""MEGA Teply Stan"" II"
29;"?????? ?? ""????? ???"" (??????????)";29;"Moscow TC ""New Century"" (Novokosino)"
30;"?????? ?? ""??????????""";30;"Moscow TC ""Perlovsky"""
31;"?????? ?? ""???????????""";31;"Moscow ?? ""???????????"""
32;"?????? ?? ""?????????? ???""";32;"Moscow Shopping Center ""Silver House"""
33;"?????? ??? ""XL-3""";33;"Mytischi TRK ""XL-3"""
34;"?.???????? ??? ""???""";34;"N.Novgorod TRC ""RIO"""
35;"?.???????? ??? ""??????????""";35;"N.Novgorod SEC ""Fantastic"""
36;"??????????? ??? ""??????? ???????????""";36;"Novosibirsk TRC ""Gallery Novosibirsk"""
37;"??????????? ?? ""????""";37;"Novosibirsk Shopping center ""Mega"""
38;"???? ?? ""????""";38;"Omsk Shopping Center ""Mega"""
39;"???????????? ??? ""????????? ????????""";39;"RostovNaDonu TRC ""Megacenter Horizon"""
40;"???????????? ??? ""????????? ????????"" ?????????";40;"RostovNaDonu TRC ""Megacenter Horizon"" Island"
41;"???????????? ?? ""????""";41;"RostovNaDonu Shopping Center ""Mega"""
42;"??? ?? ""??????? ?????""";42;"SPb TC ""Nevsky Center"""
43;"??? ?? ""??????""";43;"SPb TK ""Sennaya"""
44;"?????? ?? ""???????""";44;"Samara TC ""Melody"""
45;"?????? ?? ""????????""";45;"Samara Shopping Center ""ParkHouse"""
46;"??????? ????? ?? ""7?""";46;"Sergiev Posad Shopping center ""7YA"""
47;"?????? ??? ""???? ????""";47;"Surgut shopping and entertainment center ""City Mall"""
48;"????? ??? ""?????????? ?????""";48;"Tomsk SEC ""Emerald City"""
49;"?????? ??? ""????????""";49;"Tyumen SEC ""Crystal"""
50;"?????? ?? ""??????""";50;"Tyumen shopping center ""Goodwin"""
51;"?????? ?? ""??????? ?????""";51;"Tyumen Shopping Center ""Green Beach"""
52;"??? ?? ""???????????""";52;"Ufa TC ""Central"""
53;"??? ?? ""?????"" 2";53;"Ufa TC ""Family"" 2"
54;"????? ?? ""????""";54;"Khimki Shopping Center ""Mega"""
55;???????? ????? 1?-??????;55;Digital warehouse 1C-Online
56;"????? ??? ""????????""";56;"Chekhov SEC ""Carnival"""
57;?????? ????????????, 56;57;Yakutsk Ordzhonikidze, 56
58;"?????? ?? ""???????????""";58;Yakutsk Central shopping center
59;"????????? ?? ""???????""";59;"Yaroslavl Shopping center ""Altair"""
